,Product Name,Prices,Description,Reviews
36,"SAMSUNG Galaxy A35 5G (Awesome Lilac, 128 GB)","₹25,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 5MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
37,"vivo V40e 5G (Mint Green, 256 GB)","₹28,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 7300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
38,"vivo Y300 5G (Phantom Purple, 128 GB)","₹21,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display50MP + 2MP | 32MP Front Camera5000 mAh Battery4 Gen 2 Processor1 Year Warranty on Handset and 6 Months on Inbox Accessories,4.4
39,"OnePlus Nord 4 5G (Oasis Green, 128 GB)","₹27,697",8 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5500 mAh Battery1 Year,4.5
40,"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹24,825",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 5MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
41,"realme P3 Ultra 5G (Glowing Lunar White, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 8350 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
42,"realme GT 6T 5G (Fluid Silver, 128 GB)","₹24,990",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year,4.5
43,"SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB)","₹17,180",8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 YEAR,4.3
44,"Infinix GT 20 Pro (Mecha Silver, 256 GB)","₹26,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty,4.3
45,"realme 13 Pro+ 5G (Monet Purple, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP Front Camera5200 mAh BatterySnapdragon 7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
46,"IQOO Z9S PRO 5G (Flamboyant Orange, 128 GB)","₹26,000",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5500 mAh Battery1 YEAR,4.5
47,"realme 13 Pro+ 5G (Emerald Green, 512 GB)","₹28,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP Front Camera5200 mAh BatterySnapdragon 7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
48,"SAMSUNG Galaxy F55 5G (Raisin Black, 256 GB)","₹26,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 50MP Front Camera5000 mAh Battery7 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1
49,"OPPO F27 Pro+ (Midnight Navy, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display64MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
50,"REDMI Note 14 Pro 5G (Phantom Purple, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP + 2MP | 20MP Front Camera5500 mAh BatteryDimensity 7300 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
51,"SAMSUNG Galaxy A26 5G (Awesome Mint, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,3.8
52,"realme P3 5G (Space Silver, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh Battery6 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
53,"realme P3 Ultra 5G (Orion Red, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 8350 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
54,"realme 13 Pro 5G (Monet Gold, 512 GB)","₹26,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 32MP Front Camera5200 mAh BatterySnapdragon 7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
55,"REDMI Note 14 Pro 5G (Titan Black, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP + 2MP | 20MP Front Camera5500 mAh BatteryDimensity 7300 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
56,"POCO X7 Pro 5G (Yellow, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP | 20MP Front Camera6550 mAh BatteryDimensity D8400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
57,"SAMSUNG Galaxy A35 5G (Awesome Lilac, 256 GB)","₹28,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 5MP | 13MP Front Camera5000 mAh BatteryExynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
58,"vivo Y300 5G (Titanium Silver, 256 GB)","₹23,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display50MP + 2MP | 32MP Front Camera5000 mAh Battery4 Gen 2 Processor1 Year Warranty on Handset and 6 Months on Inbox Accessories,4.4
59,"realme 14 Pro 5G (Pearl White, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera6000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
60,"Infinix Zero 40 5G (Moving Titanium, 256 GB)","₹25,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP + 50MP + 2MP | 50MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 8200 Ultimate Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.2
61,"Infinix Zero 40 5G (Violet Garden, 256 GB)","₹25,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP + 50MP + 2MP | 50MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 8200 Ultimate Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.2
62,"POCO X7 Pro 5G (Yellow, 256 GB)","₹27,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP | 20MP Front Camera6550 mAh BatteryDimensity D8400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
